epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,63.9799,0.76177,0.70539,0.9708,0.8971,0.90354,0.9429,0.70269,1.05755,0.70087,1.11583,0.00135894,0.00135894,0.00135894
58,65.0749,0.745,0.65799,0.96328,0.99344,0.95554,0.97084,0.71909,1.0373,0.58639,1.08904,0.00135344,0.00135344,0.00135344
59,66.1833,0.76588,0.70839,0.98829,0.98744,0.97022,0.97226,0.71646,0.98487,0.63694,1.08826,0.00134794,0.00134794,0.00134794
60,67.2769,0.76298,0.67571,0.96767,0.92985,0.94668,0.96511,0.7265,1.03652,0.70365,1.09529,0.00134244,0.00134244,0.00134244
61,68.391,0.79049,0.68133,1.0001,0.96222,0.88654,0.95829,0.73315,1.0393,0.91959,1.11612,0.00133693,0.00133693,0.00133693
62,69.507,0.7582,0.65434,0.95213,0.95928,0.9041,0.96166,0.71075,1.09899,0.91498,1.1738,0.00133143,0.00133143,0.00133143
63,70.5992,0.79006,0.69834,0.99075,0.93071,0.90573,0.95282,0.69091,1.07127,0.71759,1.14688,0.00132593,0.00132593,0.00132593
64,71.6986,0.7339,0.61619,0.94707,0.97658,0.91154,0.96347,0.73107,1.00298,0.64484,1.10586,0.00132043,0.00132043,0.00132043
65,72.7873,0.65014,1.00732,0.85368,0.98564,0.91154,0.95954,0.73227,1.01178,0.67345,1.14321,0.00131493,0.00131493,0.00131493
66,73.8803,0.68261,0.58926,0.94956,0.96963,0.95755,0.9708,0.73382,0.99423,0.63065,1.12371,0.00130943,0.00130943,0.00130943
67,74.9943,0.72767,0.62086,0.97367,0.8441,0.90846,0.95706,0.7369,0.99196,0.7876,1.09458,0.00130393,0.00130393,0.00130393
68,76.1179,0.64868,0.59662,0.94159,0.90435,0.73383,0.88541,0.65978,1.08719,1.18431,1.13831,0.00129843,0.00129843,0.00129843
69,77.2122,0.67695,0.61113,0.93738,0.92212,0.69891,0.87575,0.64227,1.06978,1.25387,1.13554,0.00129293,0.00129293,0.00129293
70,78.3046,0.71914,0.62088,0.95021,0.95668,0.86948,0.91711,0.69496,1.07693,1.00978,1.14367,0.00128742,0.00128742,0.00128742
71,79.3963,0.70005,0.57301,0.94269,0.93238,0.87649,0.92302,0.67531,1.0302,0.80969,1.10736,0.00128192,0.00128192,0.00128192
72,80.4882,0.70839,0.64174,0.9641,0.89904,0.88004,0.91654,0.67615,1.00923,0.85281,1.14181,0.00127642,0.00127642,0.00127642
73,81.5783,0.61089,0.93905,0.82162,0.84402,0.91377,0.93034,0.69404,1.00468,0.82584,1.13206,0.00127092,0.00127092,0.00127092
74,82.6637,0.79621,0.74176,0.9954,0.84312,0.89827,0.93964,0.69979,1.00688,0.79828,1.10916,0.00126542,0.00126542,0.00126542
75,83.7579,0.70661,0.60116,0.95604,0.93536,0.79808,0.91709,0.67685,0.95013,0.76079,1.06143,0.00125992,0.00125992,0.00125992
76,84.8511,0.76301,0.67578,0.99998,0.8358,0.82721,0.92022,0.68063,0.96721,0.78489,1.0756,0.00125442,0.00125442,0.00125442
77,85.9572,0.71803,0.57995,0.95701,0.83338,0.92019,0.94979,0.6777,1.04978,0.75232,1.11186,0.00124892,0.00124892,0.00124892
78,87.0427,0.70953,0.6053,0.97919,0.88694,0.85354,0.95845,0.68193,1.0322,0.77256,1.10269,0.00124342,0.00124342,0.00124342
79,88.1175,0.74628,0.68259,0.95972,0.90507,0.88654,0.93148,0.66288,1.04654,0.72106,1.10694,0.00123791,0.00123791,0.00123791
80,89.1935,0.66262,0.71959,0.9517,0.93858,0.68492,0.86315,0.59812,1.14453,1.00645,1.15447,0.00123241,0.00123241,0.00123241
81,90.2721,0.77349,0.65413,0.9744,0.9323,0.76887,0.91078,0.64812,1.09292,0.93744,1.14148,0.00122691,0.00122691,0.00122691
82,91.3447,0.892,0.71352,1.11708,0.92708,0.91346,0.9569,0.69985,1.08484,0.71579,1.10803,0.00122141,0.00122141,0.00122141
83,92.4189,0.67981,0.54465,0.94403,0.99053,0.85755,0.96614,0.68854,1.12171,0.73568,1.14054,0.00121591,0.00121591,0.00121591
84,93.4937,0.73596,0.56409,0.95796,0.96788,0.89631,0.96185,0.71041,1.0529,0.69592,1.10138,0.00121041,0.00121041,0.00121041
85,94.5713,0.72377,0.61381,0.96007,0.96962,0.92144,0.94392,0.69637,1.05149,0.71392,1.0974,0.00120491,0.00120491,0.00120491
86,95.6755,0.68103,0.55582,0.94417,0.9559,0.94802,0.95771,0.72592,1.01393,0.63939,1.06276,0.00119941,0.00119941,0.00119941
87,96.785,0.62091,0.51525,0.93755,0.95257,0.88899,0.94762,0.71818,1.03644,0.63798,1.07663,0.00119391,0.00119391,0.00119391
88,97.8813,0.71432,0.60811,0.94644,0.91541,0.88654,0.94547,0.69986,1.05204,0.67077,1.08257,0.0011884,0.0011884,0.0011884
89,98.9755,0.68596,0.56191,0.95951,0.91069,0.88654,0.93384,0.69506,1.07642,0.69851,1.12571,0.0011829,0.0011829,0.0011829
90,100.083,0.67122,0.61597,0.99337,0.95204,0.87878,0.96418,0.70324,1.03663,0.58069,1.08398,0.0011774,0.0011774,0.0011774
91,101.18,0.69732,0.55265,0.94939,0.91956,0.975,0.97814,0.71659,0.99707,0.55485,1.08311,0.0011719,0.0011719,0.0011719
92,102.262,0.99816,1.13922,1.07071,0.99033,0.925,0.97597,0.73251,0.9433,0.5433,1.05898,0.0011664,0.0011664,0.0011664
