epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,53.7241,0.76033,0.68677,0.96852,0.9413,0.96468,0.995,0.77372,0.90844,0.52331,0.96394,0.000792325,0.000792325,0.000792325
55,54.6699,0.72463,0.71267,0.96328,0.97697,1,0.995,0.77797,0.91047,0.4877,0.96747,0.000775822,0.000775822,0.000775822
56,55.6155,0.65654,0.73616,0.95109,0.97242,1,0.995,0.79839,0.93014,0.52225,0.97725,0.000759318,0.000759318,0.000759318
57,56.5784,0.64292,0.70411,0.94741,0.96688,1,0.995,0.75222,0.9342,0.52491,0.97763,0.000742815,0.000742815,0.000742815
58,57.5305,0.72907,0.71676,0.94511,0.97459,0.99797,0.995,0.76619,0.91966,0.53753,0.97369,0.000726312,0.000726312,0.000726312
59,58.4832,0.6943,0.71337,0.93525,0.95456,1,0.995,0.76897,0.93515,0.56123,0.9806,0.000709809,0.000709809,0.000709809
60,59.43,0.67201,0.68212,0.94595,0.96593,1,0.995,0.76385,0.90506,0.52572,0.96301,0.000693305,0.000693305,0.000693305
61,60.3739,0.68359,0.65152,0.91278,0.96431,0.99829,0.995,0.74436,0.90994,0.5246,0.95834,0.000676802,0.000676802,0.000676802
62,61.3342,0.69618,0.68174,0.9397,0.93514,0.96667,0.98914,0.75,0.94475,0.59382,0.95559,0.000660299,0.000660299,0.000660299
63,62.3115,0.62203,0.67057,0.90499,0.92278,0.96667,0.98125,0.79438,0.86882,0.60077,0.93469,0.000643795,0.000643795,0.000643795
64,63.297,0.67885,0.62901,0.92439,0.90172,0.95537,0.96896,0.7957,0.86591,0.66227,0.93863,0.000627292,0.000627292,0.000627292
65,64.2456,0.58981,0.58736,0.9098,0.94388,0.93333,0.97644,0.8054,0.89227,0.61396,0.95174,0.000610789,0.000610789,0.000610789
66,65.2666,0.62846,0.59109,0.8827,0.97883,0.95546,0.98375,0.78947,0.91549,0.64455,0.96644,0.000594286,0.000594286,0.000594286
67,66.2414,0.59688,0.58854,0.89328,0.95955,0.96667,0.97654,0.78196,0.91447,0.62087,0.96585,0.000577782,0.000577782,0.000577782
68,67.26,0.61622,0.60776,0.88844,0.96438,0.96294,0.97786,0.75904,0.92092,0.64296,0.96345,0.000561279,0.000561279,0.000561279
69,68.2319,0.62688,0.62181,0.90669,0.97661,0.96606,0.983,0.76702,0.9181,0.61708,0.96273,0.000544776,0.000544776,0.000544776
70,69.1796,0.64152,0.59683,0.92586,0.97662,0.96947,0.995,0.7694,0.91691,0.53737,0.96062,0.000528272,0.000528272,0.000528272
71,70.1227,0.61368,0.56656,0.90738,0.9655,0.97095,0.995,0.76761,0.91577,0.51259,0.95972,0.000511769,0.000511769,0.000511769
72,71.0657,0.60747,0.5541,0.89891,0.95115,0.99483,0.995,0.78429,0.93786,0.48926,0.97456,0.000495266,0.000495266,0.000495266
73,72.0045,0.64421,0.6971,0.92185,0.95717,0.99513,0.995,0.77357,0.9632,0.48205,0.98342,0.000478762,0.000478762,0.000478762
74,72.9517,0.59108,0.56582,0.87093,0.96541,0.99557,0.995,0.78107,0.9631,0.48614,0.98025,0.000462259,0.000462259,0.000462259
75,73.9007,0.61075,0.58126,0.89377,0.97645,1,0.995,0.78545,0.93106,0.46551,0.96942,0.000445756,0.000445756,0.000445756
76,74.8419,0.58015,0.56799,0.89597,0.97748,1,0.995,0.76828,0.91475,0.44643,0.95961,0.000429253,0.000429253,0.000429253
77,75.7792,0.57177,0.5351,0.89691,0.97915,1,0.995,0.7804,0.90589,0.43966,0.95634,0.000412749,0.000412749,0.000412749
78,76.7232,0.55615,0.52233,0.87609,0.97977,1,0.995,0.78294,0.90065,0.43295,0.95843,0.000396246,0.000396246,0.000396246
79,77.669,0.54893,0.53852,0.9018,0.97975,1,0.995,0.78611,0.9011,0.43445,0.96142,0.000379743,0.000379743,0.000379743
80,78.6125,0.55159,0.48114,0.86846,0.98014,1,0.995,0.79967,0.86878,0.42439,0.94504,0.000363239,0.000363239,0.000363239
81,79.5475,0.56981,0.56561,0.9266,0.98326,1,0.995,0.81759,0.84739,0.42477,0.93558,0.000346736,0.000346736,0.000346736
82,80.5283,0.56383,0.52296,0.86478,0.98791,1,0.995,0.81471,0.85279,0.42162,0.93655,0.000330233,0.000330233,0.000330233
83,81.471,0.56625,0.48356,0.86173,0.9904,1,0.995,0.81566,0.87196,0.43706,0.9463,0.000313729,0.000313729,0.000313729
84,82.415,0.60444,0.56668,0.92815,0.98772,1,0.995,0.79981,0.86208,0.43037,0.9462,0.000297226,0.000297226,0.000297226
85,83.3508,0.58277,0.54586,0.89918,0.98593,1,0.995,0.8068,0.86119,0.42915,0.94457,0.000280723,0.000280723,0.000280723
86,84.3014,0.54582,0.49864,0.8786,0.98212,1,0.995,0.78747,0.84769,0.42535,0.93121,0.00026422,0.00026422,0.00026422
87,85.248,0.58842,0.5089,0.90911,0.97963,1,0.995,0.80175,0.86845,0.42099,0.93252,0.000247716,0.000247716,0.000247716
88,86.195,0.53008,0.49382,0.88357,0.98135,1,0.995,0.78792,0.90203,0.41118,0.94658,0.000231213,0.000231213,0.000231213
